QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06
Q00.4	How UNFPOS are communicated to raise awareness at the national level	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	1	1	0	0	0	The Article 160 of Law 1753/ 2015 leads to: (1) legally consolidate the Colombian National Statistical System (NSS) by defining its composition and the statistical operations and confirming DANE's role as coordinator and governing body of the NSS; (2) create a National Advisory Council for Statistics; (3) provide legal means to guarantee DANE's access to administrative sources for the production of official statistics; (4) create the obligation for DANE to formulate a five year National Statistical Plan agreed by all members of the NSS and approved by the future National Advisory Council for Statistics; and (5) ensure the exchange of micro-data for statistical purposes between members of the NSS. On the other hand, in the Law's regulation established in the Article 2.2.3.2.2 of the Decree 1743/2015, Colombia adopts the Fundamental Principles of Official Statistics issued by the Economic and Social Council of the United Nations. Additionally, in all the documents related to statistical policy, the DANE presents the adoption of the Fundamental Principles of Official Statistics issued by the Economic and Social Council of the United Nations, as a reference. This is especially important in documents such as the National Statistical Plan 2017-2022; the Technical Standard for the Quality of the Statistical Process, among others.
Q00.4	How UNFPOS are communicated to raise awareness at the national level	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	1	1	0	0	0	THE FPOS ARE RELEASE IN THE NEW LAW STATSITICAL DURING : THE NSS MEETING AND THE COLLECT OF DATA
Q00.4	How UNFPOS are communicated to raise awareness at the national level	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	1	1	0	0	0	The Estatistical Good Practices Code of Costa Rica, include the UNFPOS.
Q00.4	How UNFPOS are communicated to raise awareness at the national level	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	1	1	0	0	0	les principes fondamentaux de la statistiques des nations unies sont communiqués dans le cadre de la loi statistique adoptée en 2013; ces principes sont également repris dans le cadre de l'élaboration de différents plans et stratégies relatifs au Développement de la Statistique;Ces principes sont vulgarisés suivant le respect des principes scientifiques et de règles déontologiques, les méthodes et les procédures de collecte, de traitement, de stockage et de diffusion des données statistiques dans toutes nos opérations statistiques.
Q00.4	How UNFPOS are communicated to raise awareness at the national level	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	0	0	0	0	0	Other: Comunicated as an integral part of the Code of Practice of European statisics, which is a part of reports, papers and publications
Q00.4	How UNFPOS are communicated to raise awareness at the national level	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	1	0	0	0	0	Strategic plan directly refers to UNFPOS. UNFPOS can be derived from the European Code of Practice that is referred to within the Regulation on European Statistics.
Q00.4	How UNFPOS are communicated to raise awareness at the national level	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	1	0	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	1	1	0	0	0	The fundamental principles of the statistical offices are considered in the Code of Good Practices Statistics of Ecuador. This Code has been socialized with all the entities of the SEN through technical meetings, as well as being contained in the National Statistics Program
Q00.4	How UNFPOS are communicated to raise awareness at the national level	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	1	0	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	1	0	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	0	1	0	0	0	Integral part of the principles of the National Statistical System
Q00.4	How UNFPOS are communicated to raise awareness at the national level	213	150	Europe	155	Western Europe			France	250	FRA				Developed	0	0	1	0	0	The French NSO communicates on the European Statistics Code of practice instead of on UNFPOS.
Q00.4	How UNFPOS are communicated to raise awareness at the national level	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	1	0	0	0	0	Reference to the UNFPOS is made on ELSTAT's policies (Statistical Confidentiality Policy and Dissemination Policy). Relevant links:http://www.statistics.gr/documents/20181/1609796/ELSTAT_Statistical_Confidentiality_Policy_EN.pdf/c79e5ac8-469c-433d-b4e6-8433319b21d2http://www.statistics.gr/documents/20181/1609796/Dissemination_Policy_of_ELSTAT_en.pdf/8c399d64-9611-4d55-b514-56ea51ac1ecf
Q00.4	How UNFPOS are communicated to raise awareness at the national level	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	1	0	0	0	0	The National Strategy of Development of Statistics 2016-2020 Il assure également une meilleure coordination et efficace de l'activité statistique. à€ propos de ce que nous avons défini sur les investissements et les investissements sur les investissements et les investissements sur le système national de la statistique, 2016-2020. The National Strategy of Development of Statistics 2016-2020 le Plan national de développement économique et social (PNDES), les objectifs de développement durable (ODD) et d'autres engagements nationaux, régionaux et internationaux. Stratégie nationale de développement de la statistique 2016-2020 constitue, pour le gouvernement et les partenaires techniques et financiers, le seul cadre d'interventions et d'investissements dans le domaine des statistiques. L'Anstar of the First Generation of National Strategy for the Development of Statistics (SNDS), la nouvelle stratégie nationale de statistiques a été élaborée selon les directives méthodologiques de PARIS21 élaborée en 2004. Elle est le fruit d'une étroite collaboration entre tous les acteurs du système statistique guinéen. for this document of consensuel for Strategic Planning of Development Statistic. Le gouvernement saisit cette occasion pour réaffirmer son attachement aux principes fondamentaux des statistiques officielles proclamées par les Nations Unies et la Charte africaine de la statistique ainsi que les initiatives régionales, sous-régionales, multilatérales et bilatérales. statistique.
Q00.4	How UNFPOS are communicated to raise awareness at the national level	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	0	1	0	0	0	
